town_code,town,fiscal_year,policy_year,delta_2018,delta_nominal,delta_sd,delta_gcs,n_tests,frpl_share
1,Andover,2019,1,-144.8626496133073,-147.4893307908835,-0.0006861803239061888,-0.0022338201932984416,127.5,0.14074275855806775
1,Andover,2020,2,102.06322781423869,105.21576622494054,-0.00020273080184213824,-0.0006599783514347268,127.5,0.17717586524925974
1,Andover,2021,3,317.32418518771055,342.4384166980068,0.0013003592821553907,0.00423324412231165,127.5,0.20449417074088003
1,Andover,2022,4,408.8825526972004,476.50205442282345,0.003237139833928351,0.010538320726533287,127.5,0.2377445279995865
1,Andover,2023,5,481.116696852836,583.8219867827546,0.006202256873160421,0.020191087043154494,127.5,0.2097975453687192
1,Andover,2024,6,574.6974159860758,717.9666666666667,0.008441013938522686,0.027479230649527404,127.5,0.2222222222222222
1,Andover,2025,7,663.2961756494836,850.4825300854602,0.010079801942961616,0.032814209822365686,127.5,0.24707865821754552
2,Ansonia,2019,1,3684.775944909302,3751.5891065069604,0.022506540207781388,0.07377474010731785,2209.333333333333,0.6709291032696666
2,Ansonia,2020,2,3492.3418056779883,3600.213582041343,0.04383769641482241,0.14369666017297777,2209.333333333333,0.5951227390180878
2,Ansonia,2021,3,3227.7568749155407,3483.2137143229347,0.06355277298185028,0.20832119315319503,2209.333333333333,0.6566493378548369
2,Ansonia,2022,4,2979.3777031383056,3472.096295334726,0.08175075437132664,0.2679728026450108,2209.333333333333,0.6637158877252342
2,Ansonia,2023,5,2843.2642309828325,3450.2235801400316,0.07661081709753635,0.2511244762011849,2209.333333333333,0.6825077958864616
2,Ansonia,2024,6,2766.871491341247,3456.639000759723,0.0721796584481945,0.23659947259283534,2209.333333333333,0.6416802137027929
2,Ansonia,2025,7,2459.6553037462527,3153.7855073865035,0.06748810890660978,0.22122092729286286,2209.333333333333,0.6272585538004133
3,Ashford,2019,1,-345.23524266841673,-351.49512343253184,-0.0017679558392223107,-0.005799937837368313,468.99999999999994,0.2947375942267157
3,Ashford,2020,2,-109.54757692338691,-112.93129260087711,-0.002328950935775572,-0.007640332611317311,468.99999999999994,0.36810680381140254
