town_code,grade,subject,fiscal_year,policy_year,delta_2018,exposure,delta_sd,delta_gcs,k,gcs_baseline,gcs_simulated,n_tests,town,resident_students,frpl_share,delta_nominal_per_student
1,3,mth,2023,1,0.0,1,0.0,0.0,2.6977857570317187,3.497912615803232,3.497912615803232,25.0,Andover,381.32,0.2097975453687192,0.0
1,3,rla,2023,1,0.0,1,0.0,0.0,3.462184873949579,4.137821115168416,4.137821115168416,34.0,Andover,381.32,0.2097975453687192,0.0
1,4,rla,2023,1,0.0,1,0.0,0.0,3.406162464985994,4.607834709244338,4.607834709244338,24.0,Andover,381.32,0.2097975453687192,0.0
1,5,rla,2023,1,0.0,1,0.0,0.0,3.3703081232492997,6.12569787699433,6.12569787699433,24.5,Andover,381.32,0.2097975453687192,0.0
1,6,mth,2023,1,0.0,1,0.0,0.0,3.279473369239977,8.361706039893576,8.361706039893576,20.0,Andover,381.32,0.2097975453687192,0.0
1,3,mth,2024,2,0.0,2,0.0,0.0,2.6977857570317187,3.497912615803232,3.497912615803232,25.0,Andover,360.0,0.2222222222222222,0.0
1,3,rla,2024,2,0.0,2,0.0,0.0,3.462184873949579,4.137821115168416,4.137821115168416,34.0,Andover,360.0,0.2222222222222222,0.0
1,4,rla,2024,2,0.0,2,0.0,0.0,3.406162464985994,4.607834709244338,4.607834709244338,24.0,Andover,360.0,0.2222222222222222,0.0
1,5,rla,2024,2,0.0,2,0.0,0.0,3.3703081232492997,6.12569787699433,6.12569787699433,24.5,Andover,360.0,0.2222222222222222,0.0
1,6,mth,2024,2,0.0,2,0.0,0.0,3.279473369239977,8.361706039893576,8.361706039893576,20.0,Andover,360.0,0.2222222222222222,0.0
1,3,mth,2025,3,0.0,3,0.0,0.0,2.6977857570317187,3.497912615803232,3.497912615803232,25.0,Andover,344.02,0.24707865821754552,0.0
1,3,rla,2025,3,0.0,3,0.0,0.0,3.462184873949579,4.137821115168416,4.137821115168416,34.0,Andover,344.02,0.24707865821754552,0.0
1,4,rla,2025,3,0.0,3,0.0,0.0,3.406162464985994,4.607834709244338,4.607834709244338,24.0,Andover,344.02,0.24707865821754552,0.0
1,5,rla,2025,3,0.0,3,0.0,0.0,3.3703081232492997,6.12569787699433,6.12569787699433,24.5,Andover,344.02,0.24707865821754552,0.0
1,6,mth,2025,3,0.0,3,0.0,0.0,3.279473369239977,8.361706039893576,8.361706039893576,20.0,Andover,344.02,0.24707865821754552,0.0
2,3,mth,2023,1,165.25607146697757,1,0.0014170708128293326,0.003822953455556334,2.6977857570317187,1.333130747650036,1.3369537011055923,181.0,Ansonia,2379.46,0.6825077958864616,200.5337345448127
2,3,rla,2023,1,165.25607146697757,1,0.0014170708128293326,0.004906161133493151,3.462184873949579,0.8643912307336484,0.8692973918671416,181.0,Ansonia,2379.46,0.6825077958864616,200.5337345448127
2,4,mth,2023,1,165.25607146697757,1,0.0014170708128293326,0.004080756882905296,2.8797127468581696,2.2990958688755607,2.303176625758466,181.66666666666663,Ansonia,2379.46,0.6825077958864616,200.5337345448127
2,4,rla,2023,1,165.25607146697757,1,0.0014170708128293326,0.004826773412886465,3.406162464985994,1.5008368040646898,1.5056635774775762,181.66666666666663,Ansonia,2379.46,0.6825077958864616,200.5337345448127
2,5,mth,2023,1,165.25607146697757,1,0.0014170708128293326,0.004365697513133098,3.0807899461400368,2.523409155704712,2.527774853217845,187.33333333333331,Ansonia,2379.46,0.6825077958864616,200.5337345448127
2,5,rla,2023,1,165.25607146697757,1,0.0014170708128293326,0.0047759652716981875,3.3703081232492997,2.386893160039721,2.3916691253114193,187.66666666666663,Ansonia,2379.46,0.6825077958864616,200.5337345448127
