town_code,grade,subject,fiscal_year,policy_year,delta_2018,exposure,delta_sd,delta_gcs,k,gcs_baseline,gcs_simulated,n_tests,town,resident_students,frpl_share,delta_nominal_per_student
1,3,mth,2019,1,-144.8626496133073,1,-0.0006861803239061889,-0.0018511675045895276,2.6977857570317187,3.497912615803232,3.4960614482986423,25.0,Andover,440.52,0.14074275855806775,-147.4893307908835
1,3,rla,2019,1,-144.8626496133073,1,-0.0006861803239061889,-0.00237568313822983,3.462184873949579,4.137821115168416,4.135445432030186,34.0,Andover,440.52,0.14074275855806775,-147.4893307908835
1,4,rla,2019,1,-144.8626496133073,1,-0.0006861803239061889,-0.002337241663501192,3.406162464985994,4.607834709244338,4.605497467580837,24.0,Andover,440.52,0.14074275855806775,-147.4893307908835
1,5,rla,2019,1,-144.8626496133073,1,-0.0006861803239061889,-0.0023126391196748638,3.3703081232492997,6.12569787699433,6.123385237874655,24.5,Andover,440.52,0.14074275855806775,-147.4893307908835
1,6,mth,2019,1,-144.8626496133073,1,-0.0006861803239061889,-0.002250310098746808,3.279473369239977,8.361706039893576,8.35945572979483,20.0,Andover,440.52,0.14074275855806775,-147.4893307908835
1,3,mth,2020,2,102.06322781423869,2,-0.00020273080184213824,-0.0005469242697213403,2.6977857570317187,3.497912615803232,3.4973656915335107,25.0,Andover,412.02,0.17717586524925974,105.21576622494054
1,3,rla,2020,2,102.06322781423869,2,-0.00020273080184213824,-0.0007018915156215205,3.462184873949579,4.137821115168416,4.137119223652794,34.0,Andover,412.02,0.17717586524925974,105.21576622494054
1,4,rla,2020,2,102.06322781423869,2,-0.00020273080184213824,-0.0006905340477312046,3.406162464985994,4.607834709244338,4.607144175196607,24.0,Andover,412.02,0.17717586524925974,105.21576622494054
1,5,rla,2020,2,102.06322781423869,2,-0.00020273080184213824,-0.0006832652682814026,3.3703081232492997,6.12569787699433,6.125014611726049,24.5,Andover,412.02,0.17717586524925974,105.21576622494054
1,6,mth,2020,2,102.06322781423869,2,-0.00020273080184213824,-0.0006648502657659593,3.279473369239977,8.361706039893576,8.36104118962781,20.0,Andover,412.02,0.17717586524925974,105.21576622494054
1,3,mth,2021,3,317.32418518771055,3,0.0013003592821553907,0.003508090750422803,2.6977857570317187,3.497912615803232,3.5014207065536547,25.0,Andover,425.44,0.20449417074088003,342.4384166980068
1,3,rla,2021,3,317.32418518771055,3,0.0013003592821553907,0.004502084237378326,3.462184873949579,4.137821115168416,4.142323199405794,34.0,Andover,425.44,0.20449417074088003,342.4384166980068
1,4,rla,2021,3,317.32418518771055,3,0.0013003592821553907,0.004429234977873823,3.406162464985994,4.607834709244338,4.612263944222212,24.0,Andover,425.44,0.20449417074088003,342.4384166980068
1,5,rla,2021,3,317.32418518771055,3,0.0013003592821553907,0.004382611451790941,3.3703081232492997,6.12569787699433,6.130080488446121,24.5,Andover,425.44,0.20449417074088003,342.4384166980068
1,6,mth,2021,3,317.32418518771055,3,0.0013003592821553907,0.004264493636272617,3.279473369239977,8.361706039893576,8.365970533529849,20.0,Andover,425.44,0.20449417074088003,342.4384166980068
1,3,mth,2022,4,408.8825526972004,4,0.003237139833928351,0.008733109737491928,2.6977857570317187,3.497912615803232,3.5066457255407237,25.0,Andover,386.97,0.2377445279995865,476.50205442282345
1,3,rla,2022,4,408.8825526972004,4,0.003237139833928351,0.01120757656788639,3.462184873949579,4.137821115168416,4.149028691736302,34.0,Andover,386.97,0.2377445279995865,476.50205442282345
1,4,rla,2022,4,408.8825526972004,4,0.003237139833928351,0.011026224196237742,3.406162464985994,4.607834709244338,4.618860933440576,24.0,Andover,386.97,0.2377445279995865,476.50205442282345
1,5,rla,2022,4,408.8825526972004,4,0.003237139833928351,0.01091015867838261,3.3703081232492997,6.12569787699433,6.136608035672713,24.5,Andover,386.97,0.2377445279995865,476.50205442282345
1,6,mth,2022,4,408.8825526972004,4,0.003237139833928351,0.010616113877873949,3.279473369239977,8.361706039893576,8.37232215377145,20.0,Andover,386.97,0.2377445279995865,476.50205442282345
1,3,mth,2023,5,481.116696852836,4,0.006202256873160421,0.016732360253864268,2.6977857570317187,3.497912615803232,3.514644976057096,25.0,Andover,381.32,0.2097975453687192,583.8219867827546
1,3,rla,2023,5,481.116696852836,4,0.006202256873160421,0.021473359930605822,3.462184873949579,4.137821115168416,4.1592944750990215,34.0,Andover,381.32,0.2097975453687192,583.8219867827546
1,4,rla,2023,5,481.116696852836,5,0.006202256873160421,0.02112589455956042,3.406162464985994,4.607834709244338,4.628960603803899,24.0,Andover,381.32,0.2097975453687192,583.8219867827546
1,5,rla,2023,5,481.116696852836,5,0.006202256873160421,0.02090351672209137,3.3703081232492997,6.12569787699433,6.146601393716422,24.5,Andover,381.32,0.2097975453687192,583.8219867827546
1,6,mth,2023,5,481.116696852836,5,0.006202256873160421,0.02034013624471521,3.279473369239977,8.361706039893576,8.382046176138292,20.0,Andover,381.32,0.2097975453687192,583.8219867827546
1,3,mth,2024,6,574.6974159860758,4,0.008441013938522686,0.022772047178252715,2.6977857570317187,3.497912615803232,3.5206846629814845,25.0,Andover,360.0,0.2222222222222222,717.9666666666667
1,3,rla,2024,6,574.6974159860758,4,0.008441013938522686,0.029224350778750803,3.462184873949579,4.137821115168416,4.167045465947167,34.0,Andover,360.0,0.2222222222222222,717.9666666666667
1,4,rla,2024,6,574.6974159860758,5,0.008441013938522686,0.028751464843819564,3.406162464985994,4.607834709244338,4.6365861740881575,24.0,Andover,360.0,0.2222222222222222,717.9666666666667
1,5,rla,2024,6,574.6974159860758,6,0.008441013938522686,0.028448817845463572,3.3703081232492997,6.12569787699433,6.154146694839794,24.5,Andover,360.0,0.2222222222222222,717.9666666666667
1,6,mth,2024,6,574.6974159860758,6,0.008441013938522686,0.027682080420768602,3.279473369239977,8.361706039893576,8.389388120314345,20.0,Andover,360.0,0.2222222222222222,717.9666666666667
1,3,mth,2025,7,663.2961756494836,4,0.010079801942961618,0.0271931461154225,2.6977857570317187,3.497912615803232,3.5251057619186543,25.0,Andover,344.02,0.24707865821754552,850.4825300854602
1,3,rla,2025,7,663.2961756494836,4,0.010079801942961618,0.034898137819329295,3.462184873949579,4.137821115168416,4.172719252987745,34.0,Andover,344.02,0.24707865821754552,850.4825300854602
1,4,rla,2025,7,663.2961756494836,5,0.010079801942961618,0.034333443032608754,3.406162464985994,4.607834709244338,4.642168152276947,24.0,Andover,344.02,0.24707865821754552,850.4825300854602
1,5,rla,2025,7,663.2961756494836,6,0.010079801942961618,0.033972038369107616,3.3703081232492997,6.12569787699433,6.1596699153634376,24.5,Andover,344.02,0.24707865821754552,850.4825300854602
1,6,mth,2025,7,663.2961756494836,7,0.010079801942961618,0.033056442039156,3.279473369239977,8.361706039893576,8.394762481932732,20.0,Andover,344.02,0.24707865821754552,850.4825300854602
2,3,mth,2019,1,1430.219028315859,1,0.008735750164455987,0.02356718237065686,2.6977857570317187,1.333130747650036,1.356697930020693,181.0,Ansonia,2471.2,0.6709291032696666,1456.1520718679185
